Longitude1,Latitude1,Campus Name,Long Campus Name,Address 1,Address 2,City,State,Zip,County,Institution Level,Institution Type,Enrollment As Of,Undergraduate Enrollment,Graduate Enrollment,Program 1,Program 2,Program 3,Program 4,Program 5,Campus Website,Location
-73.818367,42.2176323,Columbia-Greene,COLUMBIA-GREENE COMMUNITY COLLEGE,4400 ROUTE 23, ,HUDSON,NY,12534,Columbia,2-year,Community Colleges,Fall 2018,1578,0,Individual Studies,Liberal Arts And Science-Math/Science,Nursing,Criminal Justice,Bus--Business Administration,http://www.sunycgcc.edu,"4400 ROUTE 23
HUDSON, NY 12534
(42.2176323, -73.818367)"
-74.1233521,44.3219337,North Country,NORTH COUNTRY COMMUNITY COLLEGE,23 SANTANONI AVE,P.O. Box 89,SARANAC LAKE,NY,12983,Essex,2-year,Community Colleges,Fall 2018,1978,0,Health Sciences,Entrepreneurship Management,Liberal Arts & Sciences: Humanties & Social Science,Liberal Arts & Sciences - Humanities & Social Science,Nursing,http://www.nccc.edu,"23 SANTANONI AVE
SARANAC LAKE, NY 12983
(44.3219337, -74.1233521)"
-77.7876892,42.2555046,Alfred State,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT ALFRED,10 UPPER COLLEGE DR, ,ALFRED,NY,14802,Allegany,4-year,Technology Colleges,Fall 2018,3737,0,Mechanical Engineering Technology,Business Administration,Technology Management,Electrical Construction & Maintenance Electrician,Architectural Technology,http://www.alfredstate.edu/,"10 UPPER COLLEGE DR
ALFRED, NY 14802
(42.2555046, -77.7876892)"
-79.217926,42.1129532,Jamestown,JAMESTOWN COMMUNITY COLLEGE,525 FALCONER ST, ,JAMESTOWN,NY,14701,Chautauqua,2-year,Community Colleges,Fall 2018,4476,0,Individual Studies,Nursing,Bus--Business Administration,Human Services,Liberal Arts & Sciences: Mathematics & Science,http://www.sunyjcc.edu,"525 FALCONER ST
JAMESTOWN, NY 14701
(42.1129532, -79.217926)"
-73.7960739,40.8069954,Maritime,STATE UNIVERSITY OF NEW YORK MARITIME COLLEGE, 6 PENNYFIELD AVE, ,THROGGS NECK,NY,10465,Bronx,4-year,Technology Colleges,Fall 2018,1586,148,Marine Transportation,Mechanical Engineering,International Transportation & Trade,Marine Operations,International Transportation Management,http://www.sunymaritime.edu,"6 PENNYFIELD AVE
THROGGS NECK, NY 10465
(40.8069954, -73.7960739)"
-73.9862137,40.7404442,Optometry,STATE UNIVERSITY OF NEW YORK COLLEGE OF OPTOMETRY,100 EAST 24TH ST, ,NEW YORK,NY,10010,New York,Graduate,Doctoral Degree Granting Institutions,Fall 2018,0,408,Optometry,Vision Science,,,,http://www.sunyopt.edu,"100 EAST 24TH ST
NEW YORK, NY 10010
(40.7404442, -73.9862137)"
-74.9245529,42.2705536,Delhi,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT DELHI, 2 MAIN STREET, ,DELHI,NY,13753,Delaware,2-year,Technology Colleges,Fall 2018,3238,53,Nursing RN,Liberal Arts & Sciences: General Studies,Veterinary Science Technology,Hotel & Restaurant Management,Criminal Justice,http://www.delhi.edu,"2 MAIN STREET
DELHI, NY 13753
(42.2705536, -74.9245529)"
-78.8731613,42.8819122,Erie,ERIE COMMUNITY COLLEGE-CITY CAMPUS,121 ELLICOTT ST, ,BUFFALO,NY,14203,Erie,2-year,Community Colleges,Fall 2018,10529,0,Lib Arts & Sci-General Studies,Business: Business Administration,Liberal Arts & Sciences - General Studies,Criminal Justice,Nursing,http://www.ecc.edu,"121 ELLICOTT ST
BUFFALO, NY 14203
(42.8819122, -78.8731613)"
-76.1969223,43.0060577,Onondaga,ONONDAGA COMMUNITY COLLEGE,4585 W SENECA TPKE, ,SYRACUSE,NY,13215,Onondaga,2-year,Community Colleges,Fall 2018,9834,0,Liberal Arts & Sciences: Humanities & Social Sciences,Liberal Arts & Sciences: General Studies,Business: Business Administration,Liberal Arts & Sciences: Mathematics & Sciences,Criminal Justice,http://www.sunyocc.edu,"4585 W SENECA TPKE
SYRACUSE, NY 13215
(43.0060577, -76.1969223)"
-76.1404648,43.0427628,Upstate Medical,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,750 EAST ADAMS ST, ,SYRACUSE,NY,13210,Onondaga,4-year,Doctoral Degree Granting Institutions,Fall 2018,249,1298,Medicine,Family Nurse Practitioner,Physical Therapy,Physician Assistant Studies,Nursing,http://www.upstate.edu,"750 EAST ADAMS ST
SYRACUSE, NY 13210
(43.0427628, -76.1404648)"
-74.2950974,42.9834557,Fulton-Montgomery,FULTON-MONTGOMERY COMMUNITY COLLEGE,2805 STATE HWY 67, ,JOHNSTOWN,NY,12095,Montgomery,2-year,Community Colleges,Fall 2018,2451,0,Liberal Arts & Sciences-General Studies,Health Studies,Bus--Business Administration,Business -Business Administration,Criminal Justice,http://fmcc.suny.edu,"2805 STATE HWY 67
JOHNSTOWN, NY 12095
(42.9834557, -74.2950974)"
-74.497551,42.6741714,Cobleskill,STATE UNIVERSITY OF NEW YORK COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL, STATE ROUTE 7, ,COBLESKILL,NY,12043,Schoharie,4-year,Technology Colleges,Fall 2018,2332,0,Animal Science,Business Administration,Wildlife Management,Liberal Arts & Sciences: Social Science,Agricultural Business Management,http://www.cobleskill.edu,"STATE ROUTE 7
COBLESKILL, NY 12043
(42.6741714, -74.497551)"
-73.0564575,40.848156,Suffolk County,SUFFOLK COUNTY COMMUNITY COLLEGE-AMMERMAN CAMPUS AT SELDEN,533 COLLEGE RD, ,SELDEN,NY,11784,Suffolk,2-year,Community Colleges,Fall 2018,26078,0,Lib Arts & Sci--General Studies,Lib Arts & Sci-General Studies,Lib Arts & Science-General Studies,Criminal Justice: Police,Business--Business Administration,http://www.sunysuffolk.edu,"533 COLLEGE RD
SELDEN, NY 11784
(40.848156, -73.0564575)"
-74.9790192,44.6631737,Potsdam,STATE UNIVERSITY COLLEGE AT POTSDAM,44 PIERREPONT AVE, ,POTSDAM,NY,13676,St. Lawrence,4-year,Comprehensive Colleges,Fall 2018,3298,223,Business Administration,Music Education,Psychology,Biology,Childhood/Early Childhood Education,http://www.potsdam.edu,"44 PIERREPONT AVE
POTSDAM, NY 13676
(44.6631737, -74.9790192)"
-78.8768921,42.9324188,Buffalo State,STATE UNIVERSITY COLLEGE AT BUFFALO,1300 ELMWOOD AVE, ,BUFFALO,NY,14222,Erie,4-year,Comprehensive Colleges,Fall 2018,8082,1036,Business Administration,Psychology,Biology,Criminal Justice,Multidisciplinary Studies,http://www.buffalostate.edu/,"1300 ELMWOOD AVE
BUFFALO, NY 14222
(42.9324188, -78.8768921)"
-74.0813141,41.7401619,New Paltz,STATE UNIVERSITY COLLEGE AT NEW PALTZ,1 HAWK DR, ,NEW PALTZ,NY,12561,Ulster,4-year,Comprehensive Colleges,Fall 2018,6692,916,Psychology,Sociology,Early Childhood & Childhood Education,English,Communication Studies,http://www.newpaltz.edu,"1 HAWK DR
NEW PALTZ, NY 12561
(41.7401619, -74.0813141)"
-77.7895355,42.2569656,Alfred-Ceramics,NEW YORK STATE COLLEGE OF CERAMICS AT ALFRED UNIVERSITY,1 SAXON DR, ,ALFRED,NY,14802,Allegany,4-year,Doctoral Degree Granting Institutions,Fall 2018,536,80,Ceramic Art,Ceramic Engineering,Materials Science & Engineering,Biomaterials Engineering,Glass Engineering Science,http://www.alfred.edu/,"1 SAXON DR
ALFRED, NY 14802
(42.2569656, -77.7895355)"
-75.22155,43.0786896,Mohawk Valley,MOHAWK VALLEY COMMUNITY COLLEGE,1101 SHERMAN DR, ,UTICA,NY,13501,Oneida,2-year,Community Colleges,Fall 2018,6317,0,Lib Arts & Sci-General Studies,Business Administration,Criminal Justice,Human Services,Lib Arts & Sci-Math & Science,http://www.mvcc.edu,"1101 SHERMAN DR
UTICA, NY 13501
(43.0786896, -75.22155)"
-73.4675446,44.6945381,Plattsburgh,STATE UNIVERSITY COLLEGE AT PLATTSBURGH,101 BROAD STREET, ,PLATTSBURGH,NY,12901,Clinton,4-year,Comprehensive Colleges,Fall 2018,5297,407,Psychology,Nursing,Criminal Justice,Business Administration,Accounting,http://www.plattsburgh.edu,"101 BROAD STREET
PLATTSBURGH, NY 12901
(44.6945381, -73.4675446)"
-73.9450836,40.6556015,Downstate Medical,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,450 CLARKSON AVE, ,BROOKLYN,NY,11203,Kings,4-year,Doctoral Degree Granting Institutions,Fall 2018,211,1635,Medicine,Family Nurse Practitioner,Urban & Immigrant Health,Nursing,Occupational Therapy,http://www.downstate.edu,"450 CLARKSON AVE
BROOKLYN, NY 11203
(40.6556015, -73.9450836)"
-73.7037048,41.0488014,Purchase,STATE UNIVERSITY COLLEGE AT PURCHASE,735 ANDERSON HILL RD, ,PURCHASE,NY,10577,Westchester,4-year,Comprehensive Colleges,Fall 2018,4134,100,Psychology,Liberal Studies,Theatre & Performance,Dance,Arts Management,http://www.purchase.edu,"735 ANDERSON HILL RD
PURCHASE, NY 10577
(41.0488014, -73.7037048)"
-76.1890335,42.5985222,Cortland,STATE UNIVERSITY COLLEGE AT CORTLAND,21 GRAHAM AVE,P.O. Box 2000,CORTLAND,NY,13045,Cortland,4-year,Comprehensive Colleges,Fall 2018,6343,515,Combined Early Childhood/Childhood Education (Birth-G6),Physical Education (All Grades),Sport Management,Exercise Science,Business Economics,http://www.cortland.edu,"21 GRAHAM AVE
CORTLAND, NY 13045
(42.5985222, -76.1890335)"
-73.6890869,42.6984253,Hudson Valley,HUDSON VALLEY COMMUNITY COLLEGE,80 VANDENBURGH AVE, ,TROY,NY,12180,Rensselaer,2-year,Community Colleges,Fall 2018,10896,0,Individual Studies,Liberal Arts & Sciences--Humanities & Social Science,Business Administration,Criminal Justice,Business: Business Administration,http://www.hvcc.edu,"80 VANDENBURGH AVE
TROY, NY 12180
(42.6984253, -73.6890869)"
-73.4672546,44.6937408,Clinton,CLINTON COMMUNITY COLLEGE,136 CLINTON POINT DR, ,PLATTSBURGH,NY,12901,Clinton,2-year,Community Colleges,Fall 2018,1376,0,Liberal Arts & Sciences: Humanities & Social Science,Business: Business Administration,Criminal Justice,Undergraduate - Nursing,Liberal Arts & Sciences: Math & Science,http://www.clinton.edu/,"136 CLINTON POINT DR
PLATTSBURGH, NY 12901
(44.6937408, -73.4672546)"
-75.0663681,42.467598,Oneonta,STATE UNIVERSITY COLLEGE AT ONEONTA,108 RAVINE PKWY, ,ONEONTA,NY,13820,Otsego,4-year,Comprehensive Colleges,Fall 2018,6046,497,Business Economics,Biology,Psychology,Communication Studies,Early Childhood/Childhood Education,http://www.oneonta.edu,"108 RAVINE PKWY
ONEONTA, NY 13820
(42.467598, -75.0663681)"
-78.8828583,43.1444206,Niagara County,NIAGARA COUNTY COMMUNITY COLLEGE,3111 SAUNDERS SETTLEMENT, ,SANBORN,NY,14132,Niagara,2-year,Community Colleges,Fall 2018,5047,0,Liberal Arts & Sciences [Day Format],Liberal Arts & Sciences: Humanities & Social Science,Business: Business Administration,Nursing,Criminal Justice,http://www.niagaracc.suny.edu,"3111 SAUNDERS SETTLEMENT
SANBORN, NY 14132
(43.1444206, -78.8828583)"
-79.3207245,42.4385948,Fredonia,STATE UNIVERSITY COLLEGE AT FREDONIA,280 CENTRAL AVE, ,FREDONIA,NY,14063,Chautauqua,4-year,Comprehensive Colleges,Fall 2018,4431,224,Music Education,Psychology,Criminal Justice,Biology,Business Administration,http://www.fredonia.edu,"280 CENTRAL AVE
FREDONIA, NY 14063
(42.4385948, -79.3207245)"
-74.6683044,41.7653084,Sullivan County,SULLIVAN COUNTY COMMUNITY COLLEGE,112 COLEGE RD, ,LOCH SHELDRAKE,NY,12759,Sullivan,2-year,Community Colleges,Fall 2018,1534,0,Liberal Arts And Sciences,Criminal Justice,Business Administration,Culinary Arts,Nursing,http://www.sunysullivan.edu,"112 COLEGE RD
LOCH SHELDRAKE, NY 12759
(41.7653084, -74.6683044)"
-73.4278793,40.7528114,Farmingdale,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT FARMINGDALE,2350 BROADHOLLOW RD, ,FARMINGDALE,NY,11735,Suffolk,4-year,Technology Colleges,Fall 2018,9916,54,Business Management,"Science, Technology, & Society",Liberal Arts & Science,Computer Programming & Information Systems,Criminal Justice: Law Enforcement Technology,http://www.farmingdale.edu,"2350 BROADHOLLOW RD
FARMINGDALE, NY 11735
(40.7528114, -73.4278793)"
-78.7888641,43.0008278,Buffalo University ,STATE UNIVERSITY OF NEW YORK AT BUFFALO,12 CAPEN HALL, ,BUFFALO,NY,14260,Erie,4-year,Doctoral Degree Granting Institutions,Fall 2018,21612,9896,Business Administration,Psychology,Computer Science,Biological Sciences,Mechanical Engineering,http://www.buffalo.edu/,"12 CAPEN HALL
BUFFALO, NY 14260
(43.0008278, -78.7888641)"
-74.1750259,41.8715286,Ulster County,ULSTER COUNTY COMMUNITY COLLEGE,491 COTTEKILL RD, ,STONE RIDGE,NY,12484,Ulster,2-year,Community Colleges,Fall 2018,3554,0,Individual Studies: Telecommunications Format,Veterinary Technology,Criminal Justice,Business: Business Administration,Nursing,http://www.sunyulster.edu,"491 COTTEKILL RD
STONE RIDGE, NY 12484
(41.8715286, -74.1750259)"
-77.6152344,43.1010475,Monroe,MONROE COMMUNITY COLLEGE,1000 E HENRIETTA RD, ,ROCHESTER,NY,14623,Monroe,2-year,Community Colleges,Fall 2018,12273,0,Liberal Arts & Sciences--General Studies,Business: Business Administration,Health Studies,Human Services,Criminal Justice,http://www.monroecc.edu,"1000 E HENRIETTA RD
ROCHESTER, NY 14623
(43.1010475, -77.6152344)"
-75.0077438,43.0320549,Herkimer County,HERKIMER COUNTY COMMUNITY COLLEGE,100 RESERVOIR RD, ,HERKIMER,NY,13350,Herkimer,2-year,Community Colleges,Fall 2018,2398,0,Liberal Arts & Sciences: General Studies,Criminal Justice,Business: Business Administration,Business: Accounting,Human Services,http://www.herkimer.edu,"100 RESERVOIR RD
HERKIMER, NY 13350
(43.0320549, -75.0077438)"
-74.0856476,41.1308861,Rockland,ROCKLAND COMMUNITY COLLEGE,145 COLLEGE RD, ,SUFFERN,NY,10901,Rockland,2-year,Community Colleges,Fall 2018,6859,0,Liberal Arts & Sciences: Humanities & Social Science,Nursing [Evening Format],Criminal Justice,Liberal Arts & Sciences: Mathematics & Science,Business Administration,http://www.sunyrockland.edu,"145 COLLEGE RD
SUFFERN, NY 10901
(41.1308861, -74.0856476)"
-73.9061966,41.7216949,Dutchess,DUTCHESS COMMUNITY COLLEGE,53 PENDELL RD, ,POUGHKEEPSIE,NY,12601,Dutchess,2-year,Community Colleges,Fall 2018,8582,0,General Studies,Lib Arts & Sci-Hum & Soc Sci,Bus-Business Administration,Criminal Justice: Police,Human Services,http://www.sunydutchess.edu,"53 PENDELL RD
POUGHKEEPSIE, NY 12601
(41.7216949, -73.9061966)"
-75.9698486,42.0898132,Binghamton,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,4400 VESTAL PKWY E,P.O. Box 6000,BINGHAMTON,NY,13901,Broome,4-year,Doctoral Degree Granting Institutions,Fall 2018,14021,3747,Business Administration,Economics,Computer Science,Accounting,Biological Sciences,http://www.binghamton.edu,"4400 VESTAL PKWY E
BINGHAMTON, NY 13901
(42.0898132, -75.9698486)"
-76.5448303,43.4527702,Oswego,STATE UNIVERSITY COLLEGE AT OSWEGO,7060 ROUTE 104, ,OSWEGO,NY,13126,Oswego,4-year,Comprehensive Colleges,Fall 2018,7081,905,Business Administration,Communication Studies: Broadcast & Mass Communication,Psychology,Wellness Management,Biology,http://www.oswego.edu,"7060 ROUTE 104
OSWEGO, NY 13126
(43.4527702, -76.5448303)"
-77.0738907,42.1163292,Corning,CORNING COMMUNITY COLLEGE,1 ACADEMIC DR, ,CORNING,NY,14830,Steuben,2-year,Community Colleges,Fall 2018,3424,0,Lib Arts & Sci--Humanities & Soc Sci,Nursing,Lib Arts & Sci--Math & Science,Business: Business Administration,Bus--Business Administration,http://www.corning-cc.edu,"1 ACADEMIC DR
CORNING, NY 14830
(42.1163292, -77.0738907)"
